"User Id",Name,Username,"Twitter Joined Date (UTC)","Verified or Non-Verified",Bio,Location,Website,"Tweets Count","Following Count","Followers Count","Lists Count","Likes Count","Profile URL","Profile Picture URL","Protected or Not Protected","Last Tweet Date (UTC)"
"""3387754679""",Kylie,Maramorha,"2015-07-22 18:33:12",Non-Verified,"""That forever love""","Marietta, GA",,117,77,12,0,587,https://twitter.com/Maramorha,https://pbs.twimg.com/profile_images/1083105726527164428/1j6fRXd9_normal.jpg,"Not Protected","2019-11-01 20:52:14"
"""1583211336850350083""",malltoilet,malltoilet,"2022-10-20 21:40:00",Non-Verified,"""hii""",,,34,2,1,0,0,https://twitter.com/malltoilet,https://pbs.twimg.com/profile_images/1638634865326211074/AQduP1pS_normal.jpg,Protected,
"""1377505073249460227""","alive as fuck",aliveasfvck,"2021-04-01 06:16:45",Non-Verified,"""""",California,,1264,4429,1005,3,747,https://twitter.com/aliveasfvck,https://pbs.twimg.com/profile_images/1377506994119057409/tJw4AMZY_normal.jpg,"Not Protected","2023-05-14 22:36:03"
"""1440081524""",Lifehax,Lifehaxx,"2013-05-19 03:26:17",Non-Verified,"""satisfaction guaranteed""","your head/rent free",,6023,372,275,1,13621,https://twitter.com/Lifehaxx,https://pbs.twimg.com/profile_images/1512889506319511563/5MshPcPm_normal.jpg,"Not Protected","2022-11-02 14:46:21"
"""2724543805""",pal(li),synthbitch_,"2014-08-11 19:18:38",Non-Verified,"""they/she""",sfl,,3060,100,150,0,18623,https://twitter.com/synthbitch_,https://pbs.twimg.com/profile_images/1615768816482504704/efQg2ESq_normal.jpg,"Not Protected","2023-05-14 23:41:17"
"""1118854247053967360""",Visit,PynchonSongster,"2019-04-18 12:30:14",Non-Verified,"""Visit is an Alt Country band that has been setting Thomas Pynchon's songs lyrics to music. Check out the album here: https://t.co/Jv1DiZ4TAw""","New York, NY",https://t.co/W21sj3RUIy,133,2701,3235,15,83,https://twitter.com/PynchonSongster,https://pbs.twimg.com/profile_images/1118855677278085120/bR-7lg7C_normal.jpg,"Not Protected","2022-11-17 23:50:29"
"""1330597355968716800""","cum wizard",mickeymeowth,"2020-11-22 19:42:09",Non-Verified,"""(shit content here go to @mousecapade)""","mickey | 21 | he/him | taken",https://t.co/OTdAPnsvQi,312,112,76,0,1068,https://twitter.com/mickeymeowth,https://pbs.twimg.com/profile_images/1392187866839719943/MdjJln9__normal.jpg,"Not Protected","2021-08-18 18:37:37"
"""1084603211787452416""",Zavi,zaviantonyette,"2019-01-14 00:08:51",Non-Verified,"""hey""",,,0,42,3,0,243,https://twitter.com/zaviantonyette,https://pbs.twimg.com/profile_images/1405874761310392327/o89gwq--_normal.jpg,"Not Protected",
"""890701961321996288""",jacey,yungjc69,"2017-07-27 22:34:30",Non-Verified,"""$$$qui vivra verra$$$""","ur momma’s house",,137,76,43,0,1218,https://twitter.com/yungjc69,https://pbs.twimg.com/profile_images/1463416997161713671/wPW7F0QP_normal.jpg,"Not Protected","2023-05-06 03:49:44"
"""843791198""","Excited 1",gun_toucher,"2012-09-24 15:31:38",Non-Verified,"""dilettante""","Dudleytown, CT",,50231,1537,1363,3,230906,https://twitter.com/gun_toucher,https://pbs.twimg.com/profile_images/1420211623856324616/VtVCF45q_normal.jpg,"Not Protected","2023-05-15 03:53:45"
"""1084967635""",ib,ibtachi,"2013-01-13 04:23:01",Non-Verified,"""if you like brutalist architecture you'll probably like the look of my bone structure""",hehim,https://t.co/F6d5PmLaQ8,18167,478,576,0,101961,https://twitter.com/ibtachi,https://pbs.twimg.com/profile_images/1615306510870929408/l4DkiM35_normal.jpg,"Not Protected","2023-05-13 14:22:25"
"""17360672""","honky tonk babadook",wokestdaddy,"2008-11-13 07:35:09",Non-Verified,"""you're on your own kid, you always have been""","he/him ",https://t.co/yc1rY4tx9O,117823,917,1113,18,146453,https://twitter.com/wokestdaddy,https://pbs.twimg.com/profile_images/1615441468633538561/rIat4xn9_normal.jpg,"Not Protected","2023-05-15 01:40:53"
"""3327817696""","Carson New",carson_new,"2015-06-15 19:21:04",Non-Verified,"""""",,,25,134,37,2,306,https://twitter.com/carson_new,https://pbs.twimg.com/profile_images/1247405719273562113/OpjmqjQM_normal.jpg,"Not Protected","2023-04-25 01:32:32"
"""998346843363921920""","💐🦢Baby blue",Chaotic_Vibe,"2018-05-20 23:36:50",Non-Verified,"""February punk child""",,,3784,519,44,1,11019,https://twitter.com/Chaotic_Vibe,https://pbs.twimg.com/profile_images/1400554350892695554/0Txcq9Do_normal.jpg,Protected,
"""1322970324141486081""","Liberation Émotionnelle podcast",MindfulnessCoa1,"2020-11-01 18:35:25",Non-Verified,"""Libération Émotionnelle, le podcast francophone de développement personnel qui libère vos émotions positives! 🙌☀️🧠""","United States",https://t.co/NZ8YpocM5E,19,280,52,0,28,https://twitter.com/MindfulnessCoa1,https://pbs.twimg.com/profile_images/1322970861943558153/XODP8qu7_normal.png,"Not Protected","2022-06-15 05:16:38"
"""1097234608121409540""",ballman,mousecapade,"2019-02-17 20:41:30",Non-Verified,"""first ever male femcel""","mickey | he | 23 | taken",https://t.co/u6H0dkhLLH,21095,661,1023,3,65410,https://twitter.com/mousecapade,https://pbs.twimg.com/profile_images/1507485455629131776/j_9v9A9M_normal.jpg,"Not Protected","2023-05-12 16:49:30"
"""1305678805797941249""","Daily Discordia",DailyDiscordia,"2020-09-15 01:24:32",Non-Verified,"""Get notified of Discordian holidays, plus a daily smattering of the Principia itself.  Dedicated to you, the fairest, with love from the @VanderstankFam.""",Everywhere,,2242,916,1071,8,409,https://twitter.com/DailyDiscordia,https://pbs.twimg.com/profile_images/1305679143410061312/MoNmf5w__normal.jpg,"Not Protected","2023-05-14 16:34:00"
"""1263320163732029440""",lissy,alyssAAAGH,"2020-05-21 04:06:26",Non-Verified,"""we like to have fun here""",,,382,242,71,0,9350,https://twitter.com/alyssAAAGH,https://pbs.twimg.com/profile_images/1652920176873033734/QgQEcWJD_normal.jpg,"Not Protected","2023-05-15 00:24:45"
"""128206733""","Scumbag Vinny",VINNYBEEDLE,"2010-03-31 12:36:55",Non-Verified,"""#scumbagvinny ~ email me comedyshowpromotions@gmail.com""","opened for Artie Lange and Bam",https://t.co/zyz8taqwC9,15221,3750,1509,9,3583,https://twitter.com/VINNYBEEDLE,https://pbs.twimg.com/profile_images/1042055775785558019/5C4UENwL_normal.jpg,"Not Protected","2022-12-07 05:59:21"
"""1602037321""",AAAAAAA,g__oblin,"2013-07-17 22:54:10",Non-Verified,"""""",,,1283,149,34,0,16749,https://twitter.com/g__oblin,https://pbs.twimg.com/profile_images/1328548059152789509/P5Nop__y_normal.jpg,"Not Protected","2023-04-03 01:59:10"
"""1191109281795457026""","Katie Painter",KatiePainter18,"2019-11-03 21:46:21",Non-Verified,"""Colder than a frigerator, hotter than a stolen coup""","Atlanta, GA",,719,177,67,1,8420,https://twitter.com/KatiePainter18,https://pbs.twimg.com/profile_images/1387937030869499911/1npiY38J_normal.jpg,"Not Protected","2023-05-12 01:03:33"
